,title,director,distributor,distributor_group,release_date,release_season,nation,screen,genre,rate,expert_rating,starring_actors,running_times,audience_rating,rating_audiences,director_power,sequel,original,actor_power,before_news,after_news
542,포켓몬 더 무비 XY 후파: 광륜의 초마신,유야마 쿠니히코,(주)이수C&E,B,12/23/2015,winter,일본,360,애니메이션,전체관람가,0.0,"여민정,이광수B,이선호",80,8.790748899,454,7587500.0,1,1,2820128,126.0,49.0
543,극비수사,곽경택,(주)쇼박스,C,6/18/2015,summer,한국,894,드라마,15세이상관람가,7.16,"김윤석,유해진",108,8.393271462000001,862,9465112.0,1,0,675885051,17268.0,996.0
544,오즈의 마법사: 돌아온 도로시,"윌 핀,댄 세인트 피에르",(주)박수엔터테인먼트,D,2/12/2015,winter,미국,330,애니메이션,전체관람가,6.0,"박지윤,김하영,신용우",91,8.049382716,162,894894.0,1,0,9482165,539.0,67.0
545,바다 탐험대 옥토넛 스페셜,니키 팰런,와이드 릴리즈(주),D,2/5/2015,winter,영국,210,애니메이션,전체관람가,0.0,"하성용,정재헌,엄상현",70,7.529411765,68,51884.0,1,1,26048880,55.0,13.0
546,스파이더맨: 파 프롬 홈,존 왓츠,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,B,7/2/2019,summer,미국,2142,액션,12세이상관람가,6.56,"톰 홀랜드,사무엘 L. 잭슨,젠다야 콜맨",129,9.073556231,1645,22537735.0,1,1,281874292,8049.0,1441.0
547,프란치스코 교황 : 맨 오브 히스 워드,빔 벤더스,"㈜영화사 백두대간,영화사 풀",D,11/21/2019,autumn,기타,54,다큐멘터리,전체관람가,6.33,프란치스코,96,9.6,10,37282.0,0,1,0,101.0,17.0
548,오즈: 신기한 마법가루,블라디미르 토로프킨,(주)스마일이엔티,D,7/20/2017,summer,기타,343,애니메이션,전체관람가,0.0,"이장원,김하영",91,7.8,45,78440.0,1,0,1611142,147.0,21.0
549,잃어버린 도시 Z,제임스 그레이,(주)영화사 빅,D,9/21/2017,autumn,미국,398,액션,12세이상관람가,6.83,"찰리 허냄,로버트 패틴슨,시에나 밀러",141,7.153846154,26,607751.0,1,0,3578574,740.0,55.0
550,미스 페레그린과 이상한 아이들의 집,팀 버튼,이십세기폭스코리아(주),B,9/28/2016,autumn,미국,904,미스터리,12세이상관람가,7.08,"에바 그린,에이사 버터필드,사무엘 L. 잭슨",127,8.592145015,1655,6578341.0,1,0,228613344,2132.0,288.0
551,럭키,이계벽,(주)쇼박스,C,10/13/2016,autumn,한국,1158,코미디,15세이상관람가,5.68,"유해진,이준,조윤희",112,8.826053443,3892,1176076.0,1,0,598305879,142797.0,982.0
552,트리플 엑스 리턴즈,D.J. 카루소,롯데쇼핑㈜롯데엔터테인먼트,A,2/8/2017,winter,미국,590,액션,15세이상관람가,0.0,"빈 디젤,사무엘 L. 잭슨,루비 로즈",106,8.291071429,560,475310.0,0,1,270403903,713.0,173.0
553,"고산자, 대동여지도",강우석,씨제이이앤엠(주),A,9/7/2016,autumn,한국,765,사극,전체관람가,5.78,"차승원,유준상",129,8.239467849,451,2708447.0,1,0,6439061,7379.0,888.0
554,킹 아서: 제왕의 검,가이 리치,워너브러더스 코리아(주),B,5/17/2017,spring,영국,588,판타지,12세이상관람가,5.25,"찰리 허냄,주드 로",126,8.327044025,159,1042788.0,1,0,3620911,1027.0,205.0
555,앤트맨과 와스프,페이튼 리드,월트디즈니컴퍼니코리아 유한책임회사,B,7/4/2018,summer,미국,1775,액션,12세이상관람가,6.13,"폴 러드,에반젤린 릴리,마이클 더글라스",118,8.975738985,3586,11127668.0,1,1,67216268,5447.0,908.0
556,미쓰 와이프,강효진,메가박스중앙(주)플러스엠,A,8/13/2015,summer,한국,437,코미디,15세이상관람가,6.17,"엄정화,송승헌",125,8.727659574,470,2888009.0,0,0,46994697,11078.0,273.0
557,극장판 공룡메카드: 타이니소어의 섬,"최신규,유재운",(주)넥스트엔터테인먼트월드(NEW),C,1/10/2019,winter,한국,763,애니메이션,전체관람가,5.0,"김서영,엄상현,안현서",70,9.18728223,1148,11078174.0,0,1,29353315,534.0,190.0
558,내안의 그놈,강효진,"(주)메리크리스마스,TCO(주)더콘텐츠온",D,1/9/2019,winter,한국,1041,판타지,15세이상관람가,4.0,"진영,박성웅,라미란",122,8.974522293,628,2888009.0,0,0,43560651,15441.0,804.0
559,바다 탐험대 옥토넛 시즌4: 늪지탐험선K,다라 오코넬,와이드 릴리즈(주),D,9/28/2016,autumn,영국,164,애니메이션,전체관람가,0.0,"하성용,정재헌,엄상현",57,8.575268817000001,186,1206342.0,1,1,26048880,17.0,8.0
560,아이 엠 어 히어로,사토 신스케,(주)영화사 빅,D,9/21/2016,autumn,일본,263,액션,청소년관람불가,5.83,"오오이즈미 요,나가사와 마사미,아리무라 카스미",127,7.473684211,19,212913.0,1,0,1511285,462.0,101.0
