,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우,main_actors,개봉일_int,director_involved,전국관객수
1157,더 넌,2018-09-19,8777844795,0.009000000000000001,8777844795,1011580,1011580,824,32736,미국,미국,,워너브러더스 코리아(주),15세이상관람가,공포(호러),코린 하디,"타이사 파미가,데미안 비쉬어,보니 아론스,샬롯 호프","타이사 파미가, 데미안 비쉬어, 보니 아론스",2018,True,1011580
1158,스카이스크래퍼,2018-07-11,8612111718,0.009000000000000001,8612111718,1002858,1002858,831,40862,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"액션,스릴러",로슨 마샬 터버,"드웨인 존슨,파블로 쉬레이버,니브 캠벨,바이런 만,친 한","드웨인 존슨, 파블로 쉬레이버, 니브 캠벨",2018,True,1002858
1159,극장판 헬로카봇 : 백악기 시대,2018-08-01,6589532500,0.006999999999999999,6589532500,879449,879449,758,16173,한국,한국,(주)초이락컨텐츠팩토리,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,"최신규,김진철","이지현,김용준,양정화,홍범기,엄상현,사문영,위훈,민응식,신용우,안소이,한신,이현,김상백,임정길,김두용,이지현,한신","이지현, 김용준, 양정화",2018,True,874967
1160,물괴,2018-09-12,6106452954,0.006,6106452954,723622,723622,1183,46022,한국,한국,(주)태원엔터테인먼트,"롯데컬처웍스(주)롯데엔터테인먼트,씨네그루(주)키다리이엔티",15세이상관람가,"액션,사극",허종호,"한도진,김명민,김인권,이혜리,최우식,박성웅,박희순,이경영,이강진,이규현,이기창,이동훈,이상철,이정훈,이정훈,김종윤,김주연,이찬유,김학충,김혜린,김호진,오진호,유병선,윤보현,박건우,박소은,정자영,박하현,강성훈,강태영,정효경,조원희,최윤지,최윤지,최재욱,김성수,김용호,김영철,이서준,이양희,김규백,최교식,엄지만","한도진, 김명민, 김인권",2018,True,723414
1161,미쓰백,2018-10-11,6040344066,0.006,6040344066,722182,722182,671,41961,한국,한국,영화사 배,(주)리틀빅픽쳐스,15세이상관람가,드라마,이지원,"한지민,김시아,이희준,권소현,백수장,장영남,김선영,이주영,이정은,전석호,조민준,윤송아,이승민,신수정,이지원,김지혜,김지희,박지선,강가미,김미선,김민기,한용환,김보민,김호창,김보민","한지민, 김시아, 이희준",2018,True,720292
1162,신비아파트: 금빛 도깨비와 비밀의 동굴,2018-07-25,5001247250,0.005,5001247250,678091,678091,762,16175,한국,한국,"씨제이이앤엠(주),(주)칵테일 미디어",씨제이이앤엠(주),전체관람가,"애니메이션,판타지,어드벤처",김병갑,"조현정,김영은,김채하,신용우,여민정,심규혁,이상호,이소은,정유정,김율,최재호,최재호","조현정, 김영은, 김채하",2018,True,678091
1163,퍼스트맨,2018-10-18,6094765639,0.006,6094765639,665364,665364,1190,40580,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"SF,드라마",데이미언 셔젤,"라이언 고슬링,클레어 포이,제이슨 클락,카일 챈들러,패트릭 후짓,시아란 힌즈,에단 엠브리,쉐어 위햄,코리 스톨,파블로 쉬레이버","라이언 고슬링, 클레어 포이, 제이슨 클락",2018,True,665364
1164,스파이더맨: 뉴 유니버스,2018-12-12,5305289076,0.005,5305289076,639934,639934,722,22113,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,12세이상관람가,"애니메이션,액션,가족","밥 퍼시케티,피터 램지,로드니 로스맨","샤메익 무어,헤일리 스테인펠드,니콜라스 케이지,제이크 존슨,리브 슈라이버,마허샬라 알리","샤메익 무어, 헤일리 스테인펠드, 니콜라스 케이지",2018,True,639934
1165,메가로돈,2018-08-15,4516122497,0.004,4516122497,527962,527962,601,16459,미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,공포(호러),SF",존 터틀타웁,"제이슨 스타뎀,리빙빙",,2018,True,527331
1166,호두까기 인형과 4개의 왕국,2018-12-06,4120048900,0.004,4120048900,513767,513767,294,14238,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,"판타지,드라마","라세 할스트롬,조 존스톤","키이라 나이틀리,매켄지 포이,헬렌 미렌,모건 프리먼,매튜 맥퍼딘","키이라 나이틀리, 매켄지 포이, 헬렌 미렌",2018,True,513767
