,영화명,개봉일,매출액,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우
465,동생의 젊은 아내-감독판,2020-01-23,"5,000",0.0%,"5,000",1,1,1,1,한국,한국,제이투프로덕션,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,이재금,
466,동아시아반일무장전선,,"9,000",0.0%,"82,000",1,13,1,1,한국,한국,,,,다큐멘터리,김미례,
467,레프트 비하인드: 남겨진 시대,,"6,000",0.0%,"6,000",1,1,1,1,미국,미국,,,,"어드벤처,드라마",,
468,루시드: 자각몽,2020-01-24,"6,000",0.0%,"6,000",1,1,1,1,영국,영국,,(주)도키엔터테인먼트,15세이상관람가,"SF,액션",,
469,맛있는여대생들-무삭제,2020-01-15,"5,000",0.0%,"5,000",1,1,1,1,한국,한국,에이원 미디어,에이원 미디어,청소년관람불가,멜로/로맨스,천성준,
470,목욕탕을 좋아하는 새엄마,2020-01-03,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),,
471,보랏빛 속옷의 처형,2020-01-03,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),,
472,불량탐정: 먹이사슬,2020-01-22,"1,000",0.0%,"1,000",1,1,1,1,한국,한국,영화사 산들바람,(주)액티버스엔터테인먼트,청소년관람불가,"성인물(에로),스릴러",리차드 킴,
473,살인병기 격리구역,2020-01-31,"6,000",0.0%,"6,000",1,1,1,1,중국,중국,,(주)도키엔터테인먼트,15세이상관람가,액션,,
474,삼촌,2019-11-28,"10,000",0.0%,"5,763,540",1,703,1,1,한국,한국,영화사 진,(주)드림팩트엔터테인먼트,청소년관람불가,"미스터리,스릴러",김형진,"정우림,강신효,강신철,고규필"
475,새엄마 동생,2020-01-10,"1,000",0.0%,"1,000",1,1,1,1,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,이동현,
476,새팬티로 갈아입은 유부녀,2020-01-03,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),,
477,섹슈얼 클리닉-오르가즘강좌,2020-01-03,"1,000",0.0%,"1,000",1,1,1,1,일본,일본,,주식회사 미콘,청소년관람불가,드라마,,카노 아야코
478,속궁합 잘 맞는 친구엄마,2020-01-22,"6,000",0.0%,"6,000",1,1,1,1,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,최민현,
479,스와핑 : 아내의 동의,2020-01-22,"6,000",0.0%,"6,000",1,1,1,1,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,최민현,
480,스와핑 : 잘못된 쾌락,2020-01-17,"6,000",0.0%,"6,000",1,1,1,1,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,최민현,
481,시아버지와 젊은 며느리들,2020-01-23,"5,000",0.0%,"5,000",1,1,1,1,한국,한국,제이투프로덕션,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,이진,
482,실수한 부인과 불륜정사,2020-01-06,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),,
483,쌔끈한 며느리,2020-01-22,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",버드맨 텟페이,
484,아내의 욕정난 지스팟,2020-01-03,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),,
485,아내의유혹-무삭제,2020-01-08,"5,000",0.0%,"5,000",1,1,1,1,한국,한국,에이원 미디어,에이원 미디어,청소년관람불가,멜로/로맨스,천성준,
486,아주버님의 거친 매력,2020-01-31,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",토미죠 타로,
487,아줌맛,2020-01-21,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)플라이어,청소년관람불가,"드라마,성인물(에로)",오자키 히로코우지,
488,알.이.엠,2020-01-04,"2,000",0.0%,"2,000",1,1,1,1,미국,미국,,(주)스토리제이,15세이상관람가,스릴러,,
489,알라딘-램프의 신,2020-01-07,"1,000",0.0%,"1,000",1,1,1,1,미국,미국,,(유)조이앤시네마,12세이상관람가,"드라마,멜로/로맨스",,
490,애니 불릿 윌 두,,"6,000",0.0%,"6,000",1,1,1,1,미국,미국,,,,서부극(웨스턴),저스틴 리,
491,애인:일본 유부녀들,2020-01-09,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",카와사키 군지,
492,애인의 육체코디,2020-01-03,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),,
493,야한 누나들-커다란게 좋아,2020-01-31,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",칸바라 이쿠토,
494,어리고 이쁜 새엄마,2020-01-22,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",버드맨 텟페이,
495,얼굴에 육덕둔부 들이미는 친구아내,2020-01-30,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)플라이어,청소년관람불가,"드라마,성인물(에로)",오자키 히로코우지,시노자키 칸나
496,엄청 야한 새엄마,2020-01-06,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),,
497,에어리언 대침공,2020-01-23,"1,000",0.0%,"1,000",1,1,1,1,미국,미국,,(유)조이앤시네마,15세이상관람가,"액션,SF,어드벤처",,
498,에일리언 2020,2020-01-07,"1,000",0.0%,"1,000",1,1,1,1,캐나다,캐나다,,(유)조이앤시네마,15세이상관람가,"액션,스릴러,SF",,
499,외로운 새엄마와 욕탕에서,2020-01-03,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),,
500,욕정을 받아주는 가정교사,2020-01-03,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),,
501,월드 워 Z : 아포칼립스,2020-01-14,"1,000",0.0%,"1,000",1,1,1,1,영국,영국,,(주)알이디아이스엔터,15세이상관람가,공포(호러),,
502,유부녀 여상사와 출장,2020-01-14,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)플라이어,청소년관람불가,"드라마,성인물(에로)",오자키 히로코우지,
503,음란 며느리,2020-01-17,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",버드맨 텟페이,
504,음란한 방문 서비스,2020-01-03,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",히이라기 엔부,
505,이은미-가슴큰누나,2020-01-10,"5,000",0.0%,"5,000",1,1,1,1,한국,한국,스마일컨텐츠,스마일컨텐츠,청소년관람불가,멜로/로맨스,원명준,
506,자매전쟁,2020-01-22,"1,000",0.0%,"1,000",1,1,1,1,한국,한국,영화사 산들바람,(주)액티버스엔터테인먼트,청소년관람불가,"성인물(에로),드라마",리차드 킴,
507,잘 벗는 옆집여자,2020-01-03,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",버드맨 텟페이,
508,잘 해주는 어린 새엄마,2020-01-31,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",버드맨 텟페이,
509,잠 못 이루는 섹스2 무삭제판,2020-01-09,"1,000",0.0%,"1,000",1,1,1,1,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,"멜로/로맨스,성인물(에로)",이민환,
510,젊은 장모: 여친의 엄마,2020-01-13,"5,000",0.0%,"5,000",1,1,1,1,한국,한국,제이투프로덕션,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,이재금,
511,정년퇴직한 변태 시아버지,2020-01-06,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),,
512,정사: 금지된 사랑,2020-01-23,"5,000",0.0%,"5,000",1,1,1,1,헝가리,헝가리,,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,,
513,정사:착한 며느리2,2020-01-03,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",아카바네 키쿠지로,
514,젖은 속옷의 마사지사 - 흥분지수,2020-01-03,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),,
515,중년 알바: 젖어드는 불륜의 맛,2020-01-23,"1,000",0.0%,"1,000",1,1,1,1,일본,일본,,(주)씨맥스커뮤니케이션즈,청소년관람불가,드라마,,요시자와 아키호
516,지옥행 특급택시,2020-01-27,"6,000",0.0%,"6,000",1,1,1,1,미국,미국,,(주)도키엔터테인먼트,15세이상관람가,"SF,액션",,
517,직장상사에게 빼앗긴 아내,2020-01-21,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)플라이어,청소년관람불가,"드라마,성인물(에로)",오자키 히로코우지,
518,착한 며느리:밤이 외로워,2020-01-03,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",버드맨 텟페이,
519,참지 못하는 여친의 성욕,2020-01-17,"1,000",0.0%,"1,000",1,1,1,1,한국,한국,(주)씨맥스커뮤니케이션즈,(주)씨맥스커뮤니케이션즈,청소년관람불가,드라마,박은석,
520,채팅앱-누나의맛-무삭제,2020-01-31,"5,000",0.0%,"5,000",1,1,1,1,한국,한국,에이원 미디어,에이원 미디어,청소년관람불가,멜로/로맨스,천성준,"김수지,배유정"
521,처형과의 1박2일,2020-01-06,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),,
522,치한 전철 화장실,2020-01-03,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),,
523,친구아들과 목욕탕 불륜,2020-01-03,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),,
524,친구엄마 : 내 여자가 되던 날 2,2020-01-03,"6,000",0.0%,"6,000",1,1,1,1,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,최민현,
525,친구엄마도 여자인데,2020-01-03,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),,
526,친구엄마들:세 친구의 스와핑,2020-01-09,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",카와사키 군지,
527,친구엄마와 핵재미,2020-01-06,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),,
528,친구의 육덕진 딸 첫경험 시키기,2020-01-16,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)플라이어,청소년관람불가,"드라마,성인물(에로)",,이나바 루카
529,파라다이스 인 푸켓:여대생의 맛 무삭제판,2020-01-16,"6,000",0.0%,"6,000",1,1,1,1,한국,한국,(주)영진크리에이티브,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",윤준세,
530,파라다이스 인 푸켓:유학생의 맛 무삭제판,2020-01-16,"6,000",0.0%,"6,000",1,1,1,1,한국,한국,(주)영진크리에이티브,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",윤준세,
531,한번 맛보면 참을 수 없는 육덕 유부녀,2020-01-30,"1,000",0.0%,"1,000",1,1,1,1,일본,일본,,(주)플라이어,청소년관람불가,"드라마,성인물(에로)",잠파,아오이 유리카
532,허락해버린 간호사,2020-01-06,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),,
533,활짝 열린 미망인의 꽃,2020-01-03,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),,
534,레드슈즈,2019-07-25,0,0.0%,"6,103,833,190",0,"817,729",1,2,한국,한국,(주)싸이더스,(주)넥스트엔터테인먼트월드(NEW),전체관람가,"애니메이션,코미디,판타지,어드벤처,멜로/로맨스","홍성호,홍성호","클로이 모레츠,샘 클라플린,지나 거손,패트릭 워버튼,짐 래쉬,아바 콜커,사성웅,김명준,신용우,유호한,곽지혜,전진아,권성혁,김규동,정승욱,윤세웅,정재헌,안소이,신예솔,이종구,전광주,최한,서문석"
535,리틀 포레스트,2018-02-28,0,0.0%,"11,934,249,185",0,"1,506,911",1,1,한국,한국,(주)영화사수박,메가박스중앙(주)플러스엠,전체관람가,드라마,임순례,"김태리,류준열,문소리,진기주,홍성덕,이광용,이상준,김재훈,이유진,김정은,김주은,이태영,김지윤,김현지,오수엽,박미현,박민지,박성준,임정희,박수현,박정희,박종찬,김혁,김호,강민지,김다정,김동혁,김명희,최원석,최혜림,김소정,김수현,김은영,김예슬,전국향,장재희,정준원"
536,마의 계단,,0,0.0%,0,0,0,1,2,한국,한국,,,,"드라마,스릴러,미스터리",이만희,"김진규,문정숙"
537,비긴 어게인,2014-08-13,0,0.0%,"27,214,850,961",0,"3,445,658",1,1,미국,미국,,판씨네마(주),15세이상관람가,멜로/로맨스,존 카니,"키이라 나이틀리,마크 러팔로,애덤 리바인,헤일리 스테인펠드,제임스 코든,캐서린 키너"
538,"설악, 산양의 땅 사람들",,0,0.0%,"147,000",0,21,1,1,한국,한국,,,,다큐멘터리,이강길,
539,신과함께-인과 연,2018-08-01,0,0.0%,"102,677,675,409",0,"12,276,350",1,1,한국,한국,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,"판타지,드라마",김용화,"하정우,주지훈,김향기,마동석,김동욱,이정재,김기태,오희준,도경수,이준혁,이수봉,이용희,이우주,이우주,이준혁,이지향,이지향,이지혜,김지안,김철구,김태준,안용우,김학충,노남석,장재욱,전종석,박지선,박찬영,정진영,정지훈,권훈,권수정,김대근,김대현,김동욱,김민석,안지호,강민,조한철,임철수,민무제,강신철,홍기준,장광,정아미,김민종,홍인,류제승,최현종,김그림,양지수"
540,신과함께-죄와 벌,2017-12-20,0,0.0%,"115,707,627,637",0,"14,411,775",1,1,한국,한국,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"판타지,드라마",김용화,"하정우,차태현,주지훈,김향기,마동석,김동욱,도경수,오달수,임원희,장광,정해균,김수안,이정재,김해숙,이경영,김하늘,최용훈,강소백,정수윤,이수봉,이승준,이지향,김태준,정지훈,예수정,김기태,성유빈,오희준,이준혁,유수빈,윤지온,임철수,나철,강길우,김민종,홍인,정순원,김그림,박윤호,양지수,김지나"
541,아가,,0,0.0%,0,0,0,1,1,불가리아,불가리아,,,,드라마,,
542,어글리 돌,2019-05-01,0,0.0%,"382,560,870",0,"52,586",1,1,미국,미국,,판씨네마(주),전체관람가,애니메이션,캘리 애스버리,"켈리 클락슨,닉 조나스,자넬 모네,핏불"
543,언어의 정원,2013-08-14,0,0.0%,"476,336,923",0,"70,428",1,1,일본,일본,,(주)팝엔터테인먼트,12세이상관람가,애니메이션,신카이 마코토,"이리노 미유,하나자와 카나,히라노 후미"
544,엄마는 갱년기,,0,0.0%,0,0,0,1,2,중국,중국,,,,"코미디,드라마",황건신,여려평
545,인재경도,,0,0.0%,0,0,0,1,2,중국,중국,,,,"코미디,드라마",엽위민,"왕보강,서쟁,이소로,장흠예"
546,인정사정 볼 것 없다,1999-07-31,0,0.0%,"1,943,500",0,270,1,1,한국,한국,(주)태원엔터테인먼트,(주)시네마서비스,12세관람가,액션,이명세,"박중훈,권용운,김현아,안성기,장동건,최지우,김희정,송영창,박상면,이원종,김일우,기주봉,박길수,이혜은,박지일"
547,지하실의 7인,,0,0.0%,0,0,0,1,2,한국,한국,,,,스릴러,이성구,
548,초속5센티미터,2007-06-21,0,0.0%,"262,989,742",0,"43,788",1,1,일본,일본,,"대원디지털엔터테인먼트,(주)팝엔터테인먼트",전체관람가,"애니메이션,드라마,멜로/로맨스",신카이 마코토,미즈하시 켄지
549,충녀,1972-10-06,0,0.0%,"2,647,500",0,349,1,2,한국,한국,한립물산,,12세이상관람가,드라마,김기영,"남궁원,윤여정"
550,,,"143,681,067,930",,"1,914,572,121,020","16,843,696","235,011,975","19,335","608,683",,,,,,,,
