,title,director,producer,importer,distributor,distributor_group,release_date,release_season,release,form,nation,screen,rev_nationwide,aud_nationwide,rev_seoul,rev_seoul.1,genre,rate,type,expert_rating,starring_actors,running_times,audience_rating,rating_audiences,realease_year,director_power,director_movie_num,sequel,original,actor_power
51,투모로우랜드,브래드 버드,월트 디즈니 픽쳐스,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),B,5/27/2015,spring,개봉영화,장편,미국,435,2082869000.0,265744,682335600,83016,액션,12세이상관람가,일반영화,5.5,"조지 클루니,휴 로리,브릿 로버트슨",129,7.915384615,130,2015,3564540.0,2 [2],0,0,1942980
52,개를 훔치는 완벽한 방법,김성호,(주)삼거리픽쳐스,,"(주)리틀빅픽쳐스,(주)대명문화공장",D,12/31/2014,winter,개봉영화,장편,한국,205,2018597565.0,262943,667976565,84221,드라마,전체관람가,독립/예술영화,7.04,"이레,이지원,홍은택",109,8.664556962,158,2014,536514.0,1 [1],1,0,0
53,명탐정 코난 : 코난 실종사건 - 사상 최악의 이틀,야마모토 야스이치로,,씨제이이앤엠(주),씨제이이앤엠(주),A,2/12/2015,winter,개봉영화,장편,일본,187,1885543600.0,257381,356320500,48679,애니메이션,12세이상관람가,일반영화,5.0,"김선혜,강수진,이현진",92,8.571428571,7,2015,3213932.0,4 [4],1,1,8128198
54,언브로큰,안젤리나 졸리,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),B,1/7/2015,winter,개봉영화,장편,미국,401,1997947292.0,256475,605776392,75489,액션,15세이상관람가,일반영화,5.33,"잭 오코넬,도널 글리슨,가렛 헤드룬드",137,8.067164179,134,2015,256475.0,1 [1],1,0,48357025
55,소셜포비아,홍석재,한국영화아카데미,,CGV아트하우스,A,3/12/2015,spring,개봉영화,장편,한국,368,1950635763.0,248215,551485163,67072,스릴러,15세이상관람가,독립/예술영화,7.18,"변요한,이주승,류준열",102,7.655555556,90,2015,248215.0,1 [1],0,0,176158055
56,극장판 포켓몬스터 XY : 파괴의 포켓몬과 디안시,유야마 쿠니히코,,(주)포켓몬코리아,롯데쇼핑㈜롯데엔터테인먼트,A,1/14/2015,winter,개봉영화,장편,일본,360,1653084000.0,233347,385135900,52427,애니메이션,전체관람가,일반영화,6.0,"조현정,이선호,마츠모토 리카",98,8.552301255,239,2015,7587500.0,6 [6],1,1,6103509
57,언프렌디드: 친구삭제,레오 가브리아제,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),B,5/7/2015,spring,개봉영화,장편,미국,386,1643911941.0,219678,347479141,45233,공포,15세이상관람가,일반영화,6.0,"헤더 소서맨,쉘리 헨닝,모세 제이콥 스톰",83,5.173333333,75,2015,219678.0,1 [1],0,0,0
58,노아의 방주: 남겨진 녀석들,토비 젠켈,,(주)스마일이엔티,씨네그루(주)다우기술,B,4/30/2015,spring,개봉영화,장편,기타,436,1586417300.0,219621,362928700,48437,애니메이션,전체관람가,일반영화,6.16,"김하영,배진홍,윤세웅",85,8.408866995,203,2015,497626.0,2 [2],0,0,3197734
59,연애의 맛,김아론,(주)청우필름,,"(주)와우픽쳐스,(주)쇼박스",D,5/7/2015,spring,개봉영화,장편,한국,398,1706805153.0,212154,382376253,45698,멜로/로맨스,청소년관람불가,일반영화,5.0,"오지호,강예원",101,8.14953271,107,2015,212154.0,1 [1],0,0,5547103
60,버드맨,알레한드로 곤잘레스 이냐리투,,이십세기폭스코리아(주),이십세기폭스코리아(주),B,3/5/2015,spring,개봉영화,장편,미국,380,1653103800.0,204742,855370200,103328,코미디,청소년관람불가,일반영화,8.1,"마이클 키튼,에드워드 노튼,엠마 스톤",119,8.532051282000001,156,2015,2416664.0,2 [2],0,0,84355523
61,기생수 파트1,야마자키 타카시,,판씨네마(주),판씨네마(주),D,2/26/2015,winter,개봉영화,장편,일본,247,1534923185.0,186184,438111585,51401,스릴러,청소년관람불가,일반영화,5.5,"소메타니 쇼타,아베 사다오,후카츠 에리",110,8.262068966000001,145,2015,2255313.0,3 [3],1,0,4528571
62,인터스텔라,크리스토퍼 놀란,,워너브러더스 코리아(주),워너브러더스 코리아(주),B,11/6/2014,autumn,개봉영화,장편,미국,1342,1619640900.0,170235,884774800,92474,SF,12세이상관람가,일반영화,7.9,"매튜 맥커너히,앤 해서웨이,마이클 케인",169,9.280903327999999,2524,2014,29392396.0,2 [2],0,0,72906038
63,최강전사 미니특공대 : 새로운 악당의 습격,이영준,(주)삼지애니메이션,,에이원엔터테인먼트,D,2/5/2015,winter,개봉영화,장편,한국,318,1163431200.0,154342,220766300,27906,애니메이션,전체관람가,일반영화,0.0,"엄상현,전태열,신용우",60,7.558252427,206,2015,907833.0,3 [3],1,0,30535468
