title,director,producer,importer,distributor,distributor_group,release_date,release_season,release,form,nation,screen,rev_nationwide,aud_nationwide,rev_seoul,rev_seoul,genre,rate,type,expert_rating,starring_actors,running_times,audience_rating,rating_audiences,realease_year,director_power,director_movie_num,sequel,original
명탐정 코난 : 코난 실종사건 - 사상 최악의 이틀,야마모토 야스이치로,,씨제이이앤엠(주),씨제이이앤엠(주),A,2/12/2015,winter,개봉영화,장편,일본,187,1885543600,257381,356320500,48679,애니메이션,12세이상관람가,일반영화,5,"김선혜(코난), 강수진(남도일), 이현진(유미란)",92,8.571428571,7,2015,3213932,4 [4],1,1
언브로큰,안젤리나 졸리,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),B,1/7/2015,winter,개봉영화,장편,미국,401,1997947292,256475,605776392,75489,액션,15세이상관람가,일반영화,5.33,"잭 오코넬(루이 잠페리니), 도널 글리슨(필), 가렛 헤드룬드(존 피츠제럴드)",137,8.067164179,134,2015,256475,1 [1],1,0
소셜포비아,홍석재,한국영화아카데미,,CGV아트하우스,A,3/12/2015,spring,개봉영화,장편,한국,368,1950635763,248215,551485163,67072,스릴러,15세이상관람가,독립/예술영화,7.18,"변요한(지웅), 이주승(용민), 류준열(양게)",102,7.655555556,90,2015,248215,1 [1],0,0
극장판 포켓몬스터 XY : 파괴의 포켓몬과 디안시,유야마 쿠니히코,,(주)포켓몬코리아,롯데쇼핑㈜롯데엔터테인먼트,A,1/14/2015,winter,개봉영화,장편,일본,360,1653084000,233347,385135900,52427,애니메이션,전체관람가,일반영화,6,"조현정(디안시 목소리), 이선호(지우 목소리), 마츠모토 리카",98,8.552301255,239,2015,7587500,6 [6],1,1
언프렌디드: 친구삭제,레오 가브리아제,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),B,5/7/2015,spring,개봉영화,장편,미국,386,1643911941,219678,347479141,45233,공포,15세이상관람가,일반영화,6,"헤더 소서맨(로라 반스), 쉘리 헨닝(블래어 릴리), 모세 제이콥 스톰(미치 러셀)",83,5.173333333,75,2015,219678,1 [1],0,0
노아의 방주: 남겨진 녀석들,토비 젠켈,,(주)스마일이엔티,씨네그루(주)다우기술,B,4/30/2015,spring,개봉영화,장편,기타,436,1586417300,219621,362928700,48437,애니메이션,전체관람가,일반영화,6.16,"김하영(피니), 배진홍(리아), 윤세웅(데이브)",85,8.408866995,203,2015,497626,2 [2],0,0
연애의 맛,김아론,(주)청우필름,,"(주)와우픽쳐스,(주)쇼박스",D,5/7/2015,spring,개봉영화,장편,한국,398,1706805153,212154,382376253,45698,멜로/로맨스,청소년관람불가,일반영화,5,"오지호(왕성기), 강예원(길신설)",101,8.14953271,107,2015,212154,1 [1],0,0
버드맨,알레한드로 곤잘레스 이냐리투,,이십세기폭스코리아(주),이십세기폭스코리아(주),B,3/5/2015,spring,개봉영화,장편,미국,380,1653103800,204742,855370200,103328,코미디,청소년관람불가,일반영화,8.1,"마이클 키튼(리건), 에드워드 노튼(마이크), 엠마 스톤(샘)",119,8.532051282,156,2015,2416664,2 [2],0,0
기생수 파트1,야마자키 타카시,,판씨네마(주),판씨네마(주),D,2/26/2015,winter,개봉영화,장편,일본,247,1534923185,186184,438111585,51401,스릴러,청소년관람불가,일반영화,5.5,"소메타니 쇼타(이즈미 신이치), 아베 사다오(오른쪽이), 후카츠 에리(타미야 료코)",110,8.262068966,145,2015,2255313,3 [3],1,0
인터스텔라,크리스토퍼 놀란,,워너브러더스 코리아(주),워너브러더스 코리아(주),B,11/6/2014,autumn,개봉영화,장편,미국,1342,1619640900,170235,884774800,92474,SF,12세이상관람가,일반영화,7.9,"매튜 맥커너히(쿠퍼), 앤 해서웨이(브랜드), 마이클 케인(브랜드 교수)",169,9.280903328,2524,2014,29392396,2 [2],0,0
최강전사 미니특공대 : 새로운 악당의 습격,이영준,(주)삼지애니메이션,,에이원엔터테인먼트,D,2/5/2015,winter,개봉영화,장편,한국,318,1163431200,154342,220766300,27906,애니메이션,전체관람가,일반영화,0,"엄상현, 전태열, 신용우",60,7.558252427,206,2015,907833,3 [3],1,0
아메리칸 셰프,존 파브로,,(주)누리픽쳐스,(주)영화사 진진,D,1/7/2015,winter,개봉영화,장편,미국,111,1240660929,151833,787266129,95079,코미디,15세이상관람가,독립/예술영화,6.25,"존 파브로, 엠제이 안소니, 소피아 베르가라",114,8.85106383,94,2015,4889524,3 [3],1,0
짱구는 못말려 극장판 : 정면승부! 로봇아빠의 역습,타카하시 와타루,,대원미디어(주),(주)이수C&E,B,4/23/2015,spring,개봉영화,장편,일본,372,1085388600,150226,171433200,22562,애니메이션,전체관람가,일반영화,7,"야지마 아키코(노하라 신노스케), 나라하시 미키(노하라 미사에), 후지와라 케이지(노하라 히로시)",97,8.573333333,75,2015,966278,3 [3],1,1
워킹걸,정범식,"(주)홍필름,(주)수필름",,메가박스중앙(주)플러스엠,A,1/7/2015,winter,개봉영화,장편,한국,308,1183887479,149181,389163479,49874,코미디,청소년관람불가,일반영화,3.75,"조여정(백보희), 클라라(오난희), 김태우(구강성)",112,7.203703704,108,2015,3798104,2 [2],1,0
은밀한 유혹,윤재구,"(주)영화사비단길,(주)수필름",,씨제이이앤엠(주),A,6/4/2015,summer,개봉영화,장편,한국,394,1112273247,142375,353352647,43475,멜로/로맨스,15세이상관람가,일반영화,3.71,"임수정(지연), 유연석(성열)",110,7.275,80,2015,142375,1 [1],1,0
화장,임권택,(주)명필름,,(주)리틀빅픽쳐스,D,4/9/2015,spring,개봉영화,장편,한국,327,1059405100,140616,338077900,43757,드라마,청소년관람불가,독립/예술영화,6.78,"안성기, 김규리, 김호정",94,7.636363636,44,2015,140616,1 [1],1,0
워터 디바이너,러셀 크로우,,(주)더블앤조이픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,A,1/28/2015,winter,개봉영화,장편,미국,326,1008818235,136134,315480635,42375,드라마,15세이상관람가,일반영화,5.9,"러셀 크로우(조슈아 코너), 올가 쿠릴렌코(아이셰), 제이 코트니(시릴 휴즈)",111,8.166666667,42,2015,136134,1 [1],1,0
눈의 여왕 2: 트롤의 마법거울,알렉세이 트시칠린,,(주)시네마리퍼블릭,씨네그루(주)다우기술,B,12/24/2014,winter,개봉영화,장편,기타,479,859030900,120278,171264600,22406,애니메이션,전체관람가,독립/예술영화,0,"벨라 손(겔다 목소리), 샬토 코플리(올름 목소리)",78,7.260797342,602,2014,2017230,3 [3],1,1
19곰 테드 2,세스 맥팔레인,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),B,6/25/2015,summer,개봉영화,장편,미국,297,961888700,119518,378111600,45161,코미디,청소년관람불가,일반영화,5,"마크 월버그(존 베넷), 아만다 사이프리드(사만다 잭슨), 세스 맥팔레인(테드 목소리)",115,8.293233083,133,2015,403465,1 [1],0,1
나의 절친 악당들,임상수,"휠므빠말주식회사,이십세기폭스 인터내셔널 프로덕션",,이십세기폭스코리아(주),B,6/25/2015,summer,개봉영화,장편,한국,384,921337864,116444,298390064,35949,범죄,청소년관람불가,일반영화,5.5,"류승범(지누), 고준희(나미), 류현경(정숙)",110,5.9,80,2015,1281925,1 [1],0,0
존 윅,"데이빗 레이치,채드 스타헬스키",,"(유)조이앤시네마,(유)조이앤컨텐츠그룹","(주)제이앤씨미디어그룹,(주)나이너스엔터테인먼트",D,1/21/2015,winter,개봉영화,장편,미국,321,925995637,116119,338434537,41631,액션,청소년관람불가,일반영화,6.05,"키아누 리브스(존 윅), 미카엘 니크비스트(비고 타라소프)",107,7.644067797,59,2015,13621196,"7 [4, 3]",0,0
상의원,이원석,"(주)영화사비단길,상의원문화산업전문(유)",,"(주)쇼박스,(주)와우픽쳐스",C,12/24/2014,winter,개봉영화,장편,한국,466,908709400,113526,290262800,35338,사극,15세이상관람가,일반영화,5.21,"한석규(돌석), 고수(공진), 박신혜(왕비)",127,7.787072243,526,2014,1183889,1 [1],0,0
