,N_movie_code,title,comeout_date,expert_rating,starring_actors,running_times,directors
148,134134,괴물의 아이,The Boy and The Beast,7.20,"야쿠쇼 코지(쿠마테츠 목소리), 미야자키 아오이(큐타 (소년시절) 목소리), 소메타니 쇼타(큐타 (청년시절) 목소리)",119분,호소다 마모루
149,137010,포켓몬 더 무비 XY 후파: 광륜의 초마신,Pokemon the Movie XY: R...,-,"여민정(굴레에 빠진 후파 목소리), 이광수(굴레를 벗어난 후파 목소리), 이선호(지우 목소리)",80분,유야마 쿠니히코
150,83508,팬데믹,2009,-,"레이 와이즈, 그레이엄 맥타비쉬",-,제이슨 코너리
151,127375,더 셰프,2015,5.67,"브래들리 쿠퍼(아담 존스), 시에나 밀러(스위니), 오마 사이(미쉘)",101분,존 웰스
152,118343,레전드 워리어,2014,-,"도미닉 레인스(숀 워커 / 제항기르 아민 / 도플갱어 진), 레이 파크(가브리엘)",94분,아즈말 자히르 아마드
153,117802,아메리칸 울트라,2015,6.33,"제시 아이젠버그(마이크 하웰), 크리스틴 스튜어트(피비), 코니 브리튼(빅토리아 라세터)",95분,니마 누리자데
154,130978,트랜스포터: 리퓰드,2015,3.50,"에드 스크레인(프랭크 마틴), 론 샤바놀(안나)",86분,카밀 들라마레
155,147001,내부자들: 디 오리지널,2015,-,"이병헌(안상구), 조승우(우장훈), 백윤식(이강희)",180분,우민호
156,99748,스누피:더 피너츠 무비,2015,6.00,"빌 멜렌데즈(스누피 / 우드스톡 목소리), 노아 스납(찰리 브라운 목소리)",93분,스티브 마티노
157,127321,우먼 인 골드,2015,7.00,"헬렌 미렌(마리아 알트만), 라이언 레이놀즈(랜드 쉔베르크), 다니엘 브륄(유베르투스 체르닌)",109분,사이먼 커티스
158,125466,시카리오: 암살자의 도시,2015,7.97,"에밀리 블런트(케이트 메이서), 베니시오 델 토로(알레한드로), 조슈 브롤린(맷 그레이버)",121분,드니 빌뇌브
159,140895,러브 라이브! 더 스쿨 아이돌 무비,LOVELIVE THE School idol Movie,-,"닛타 에미(코우사카 호노카), 난죠 요시노(아야세 에리), 우치다 아야(미나미 코토리)",99분,쿄고쿠 타카히코
160,136832,퇴마: 무녀굴,2015,5.17,"김성균(신진명), 유선(김금주), 천호진(강목사)",105분,김휘
161,134685,극장판 도라에몽: 진구의 우주영웅기~스페이스 히어로즈~,Doraemon The Movie: N...,5.67,"미즈타 와사비(도라에몽 목소리), 오오하라 메구미(노비타(진구) 목소리), 카카즈 유미(시즈카 목소리)",100분,오오스기 요시히로
162,132991,미라클 벨리에,The Belier Family,6.81,"루안 에머라(폴라 벨리에), 카린 비아르(지지 벨리에), 프랑수아 다미앙(로돌프 벨리에)",105분,에릭 라티고
163,118376,셀프/리스,2015,5.17,"라이언 레이놀즈(젊은 데미안), 매튜 구드(알브라이트), 벤 킹슬리(데미안)",117분,타셈 싱
164,90591,맨 프롬 UNCLE,2015,6.25,"헨리 카빌(나폴레옹 솔로), 아미 해머(일리야), 알리시아 비칸데르(개비 텔러)",116분,가이 리치
165,137991,프리덤,2014,-,"쿠바 구딩 쥬니어(사무엘), 베르나르드 포처(존 뉴턴), 윌리암 새들러(핌턴)",95분,피터 쿠센스
166,130733,돌연변이,2015,6.31,"이광수(구), 이천희(상원), 박보영(주진)",93분,권오광
167,135807,극장판 파워레인저 트레인포스VS 다이노포스 THE MOVIE,201...,-,"심규혁(한별 / 트레인1호 목소리), 이인석(안경 / 트레인2호 목소리), 강시현(장미 / 트레인3호 목소리)",60분,와타나베 카츠야
168,179150,맥베스,2017,-,"젤리코 루치치(맥베스), 안나 네트렙코(레이디 맥베스), 일데브란도 다르칸젤로(뱅쿠오)",181분,필리다 로이드
169,142010,더 매직: 리틀톰과 도둑공주,Tom Little and the Magic Mirror,7.00,"카를로스 블랑코(톰), 몬티 카스티네이라스(마법거울), 마리아 카스트로(공주)",78분,어네스토 파드롱
170,81967,사우스포,2015,5.33,"제이크 질렌할(빌리 호프), 레이첼 맥아담스(모린 호프), 우나 로렌스(레일라 호프)",124분,안톤 후쿠아
171,137973,갤로우즈,2015,3.33,"캐시디 지포드(캐시디 스플리커), 파이퍼 브라운(파이퍼 로즈), 라이언 슈즈(라이언 슈즈)",81분,"트래비스 클러프, 크리스 로핑"
172,190026,숀더쉽 더 무비: 꼬마 외계인 룰라!,2019,6.75,"저스틴 플레쳐(숀/티미 목소리), 아멜리아 비테일(룰라 목소리)",87분,"윌 베처, 리처드 펠런"
