,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
113,메이즈 러너: 스코치 트라이얼,웨스 볼,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-09-16,개봉영화,장편,미국,804,21596946349,2744413,5743724849,697898,액션,12세이상관람가,일반영화
114,탐정 : 더 비기닝,김정훈,(주)크리픽쳐스,,씨제이이앤엠(주),2015-09-24,개봉영화,장편,한국,764,20463956973,2625686,4092941173,504961,코미디,15세이상관람가,일반영화
115,미니언즈,"피에르 꼬팽,카일 발다",,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-07-29,개봉영화,장편,미국,792,18997911278,2625572,4787634178,630536,애니메이션,전체관람가,일반영화
116,뷰티 인사이드,백,(주)용필름,,(주)넥스트엔터테인먼트월드(NEW),2015-08-20,개봉영화,장편,한국,648,16145401531,2053085,5024222431,611117,판타지,12세이상관람가,일반영화
117,007 스펙터,샘 멘데스,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-11-11,개봉영화,장편,영국,1105,14301476030,1820760,4497382930,548003,액션,15세이상관람가,일반영화
118,더 폰,김봉주,(주)미스터로맨스,,(주)넥스트엔터테인먼트월드(NEW),2015-10-22,개봉영화,장편,한국,794,12309164568,1593694,2963876068,366753,스릴러,15세이상관람가,일반영화
119,대호,박훈정,(주)사나이픽처스,,(주)넥스트엔터테인먼트월드(NEW),2015-12-16,개봉영화,장편,한국,892,12104808332,1584168,2802652706,352415,사극,12세이상관람가,일반영화
120,성난 변호사,허종호,"씨제이이앤엠(주),(주)영화사 빛나는 제국,우수영화사",,씨제이이앤엠(주),2015-10-08,개봉영화,장편,한국,607,8697174039,1124918,2126132839,263369,범죄,15세이상관람가,일반영화
121,그놈이다,윤준형,상상필름(주),,CGV아트하우스,2015-10-28,개봉영화,장편,한국,681,8096427152,1046015,1799536452,223466,스릴러,15세이상관람가,일반영화
122,미쓰 와이프,강효진,(주)영화사아이비젼,,메가박스중앙(주)플러스엠,2015-08-13,개봉영화,장편,한국,437,7357162869,984265,1676810469,221861,코미디,15세이상관람가,일반영화
123,몬스터 호텔 2,젠디 타타코브스키,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-12-24,개봉영화,장편,미국,686,7029012585,962770,1640267600,217074,애니메이션,전체관람가,일반영화
124,손님,김광태,(주)유비유필름,,씨제이이앤엠(주),2015-07-09,개봉영화,장편,한국,634,6385295880,827918,1717964980,213174,판타지,15세이상관람가,일반영화
125,인시디어스 3,리 워넬,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-07-09,개봉영화,장편,미국,409,6396650620,825517,1542181920,191674,공포(호러),15세이상관람가,일반영화
