,title,director,distributor,distributor_group,release_date,release_season,release,form,nation,screen,rev_nationwide,aud_nationwide,rev_seoul,rev_seoul.1,genre,rate,type,expert_rating,starring_actors,running_times,audience_rating,rating_audiences,realease_year,director_power,sequel,original,actor_power,director_count,director_movie_count,actor_movie_count,log_aud,before_news,after_news,holiday,dist_cat
69,워터 디바이너,러셀 크로우,롯데쇼핑㈜롯데엔터테인먼트,A,20150128,winter,개봉영화,장편,미국,326,1008818235,136134,315480635,42375,드라마,15세이상관람가,일반영화,5.9,"러셀 크로우,올가 쿠릴렌코,제이 코트니",111,8.166666667,42,2015,0,1,0,10886022,1,0,10,11.82139497,59,80,0,A
70,눈의 여왕 2: 트롤의 마법거울,알렉세이 트시칠린,씨네그루(주)다우기술,B,20141224,winter,개봉영화,장편,기타,479,859030900,120278,171264600,22406,애니메이션,전체관람가,독립/예술영화,0,"벨라 손,샬토 코플리",78,7.260797342,602,2014,0,1,1,1207732,1,0,1,11.69756101,28,60,0,B
71,19곰 테드 2,세스 맥팔레인,유니버설픽쳐스인터내셔널 코리아(유),B,20150625,summer,개봉영화,장편,미국,297,961888700,119518,378111600,45161,코미디,청소년관람불가,일반영화,5,"마크 월버그,아만다 사이프리드,세스 맥팔레인",115,8.293233083,133,2015,283947,0,1,7802884,1,2,11,11.69122227,19,106,0,B
72,나의 절친 악당들,임상수,이십세기폭스코리아(주),B,20150625,summer,개봉영화,장편,한국,384,921337864,116444,298390064,35949,범죄,청소년관람불가,일반영화,5.5,"류승범,고준희,류현경",110,5.9,80,2015,1165481,0,0,14161423,1,1,11,11.66516575,607,310,0,B
73,존 윅,"데이빗 레이치,채드 스타헬스키","(주)제이앤씨미디어그룹,(주)나이너스엔터테인먼트",D,20150121,winter,개봉영화,장편,미국,321,925995637,116119,338434537,41631,액션,청소년관람불가,일반영화,6.05,"키아누 리브스,미카엘 니크비스트",107,7.644067797,59,2015,0,0,0,5663,2,0,1,11.66237081,41,68,0,C
74,상의원,이원석,"(주)쇼박스,(주)와우픽쳐스",C,20141224,winter,개봉영화,장편,한국,466,908709400,113526,290262800,35338,사극,15세이상관람가,일반영화,5.21,"한석규,고수,박신혜",127,7.787072243,526,2014,507257,0,0,25177635,1,1,6,11.63978716,455,673,0,A
75,스틸 앨리스,"리처드 글랫저,워시 웨스트모어랜드",그린나래미디어(주),D,20150429,spring,개봉영화,장편,미국,109,856716246,111005,479597846,60784,드라마,12세이상관람가,독립/예술영화,6.57,"줄리안 무어,알렉 볼드윈,크리스틴 스튜어트",101,8.342105263,76,2015,0,1,0,10971393,2,0,12,11.61733052,18,71,0,C
76,더 건맨,피에르 모렐,롯데쇼핑㈜롯데엔터테인먼트,A,20150416,spring,개봉영화,장편,프랑스,349,833910965,107441,240106365,30062,액션,청소년관람불가,일반영화,4.58,"숀 펜,하비에르 바르뎀,이드리스 엘바",113,7.086486486,185,2015,0,1,0,9164691,1,0,8,11.58469714,23,93,0,A
77,빌리와 용감한 녀석들 3,척 파워스,롯데쇼핑㈜롯데엔터테인먼트,A,20150430,spring,개봉영화,장편,미국,343,699788600,98495,177312700,23652,애니메이션,전체관람가,독립/예술영화,5,"엄상현,조현정,숀 애스틴",80,7.263157895,114,2015,0,0,0,1199118,1,0,8,11.49776106,22,64,0,A
78,7번째 아들,세르게이 보드로프,유니버설픽쳐스인터내셔널 코리아(유),B,20150211,winter,개봉영화,장편,미국,358,729980451,92598,218674251,25546,어드벤처,12세이상관람가,일반영화,5,"제프 브리지스,벤 반스,줄리안 무어",102,6.655172414,29,2015,0,1,0,3189921,1,0,9,11.43602282,26,85,0,B
79,포커스,"글렌 피카라,존 레쿼",워너브러더스 코리아(주),B,20150226,winter,개봉영화,장편,미국,349,702878700,91164,227994000,28313,코미디,15세이상관람가,일반영화,0,"윌 스미스,마고 로비,로드리고 산토로",104,7.605263158,38,2015,0,0,0,3445516,2,0,2,11.42041536,64,163,0,B
80,심야식당,마츠오카 조지,(주)영화사 진진,D,20150618,summer,개봉영화,장편,일본,180,711908074,90416,351932174,43398,드라마,12세이상관람가,독립/예술영화,6.03,"코바야시 카오루,오다기리 죠",120,8.550724638,138,2015,0,1,0,0,1,0,0,11.41217652,54,108,0,C
