영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
지슬 - 끝나지 않은 세월2,오멸,"주식회사 자파리필름,설문대영상",,(주)영화사 진진,2013-03-21,개봉영화,장편,한국,81,977531100,141803,450875600,61257,드라마,15세이상관람가,독립/예술영화
링컨,스티븐 스필버그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2013-03-14,개봉영화,장편,미국,214,941056500,135900,429441000,60711,드라마,12세이상관람가,일반영화
실버라이닝 플레이북,데이빗 O. 러셀,,(주)누리픽쳐스,(주)나이너스엔터테인먼트,2013-02-14,개봉영화,장편,미국,226,915598500,122698,561167500,73251,멜로/로맨스,청소년관람불가,독립/예술영화
제로 다크 서티,캐서린 비글로우,,(주)유니코리아문예투자,(주)에스비에스콘텐츠허브,2013-03-07,개봉영화,장편,미국,258,765247500,107104,298295000,39992,전쟁,15세이상관람가,일반영화
원피스 극장판 Z,나가미네 타츠야,,씨제이이앤엠(주),씨제이이앤엠(주),2013-03-21,개봉영화,장편,일본,267,626891000,93239,150616000,20860,애니메이션,전체관람가,일반영화
마마,안드레스 무시에티,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2013-01-23,개봉영화,장편,미국,164,662161500,91143,224271500,29260,공포(호러),15세이상관람가,일반영화
더 콜,브래드 앤더슨,,(주)포커스엔터테인먼트,(주)넥스트엔터테인먼트월드(NEW),2013-06-20,개봉영화,장편,미국,241,609825134,86398,230795134,31258,스릴러,청소년관람불가,일반영화
뷰티풀 크리처스,리차드 라그라브네스,,데이지엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2013-04-18,개봉영화,장편,미국,278,582030544,82995,192640044,26361,스릴러,15세이상관람가,일반영화
피노키오: 당나귀 섬의 비밀,엔조 달로,,(주)드림웨스트픽쳐스,(주)인벤트스톤,2013-04-25,개봉영화,장편,이탈리아,283,430025000,68541,114457000,17366,애니메이션,전체관람가,독립/예술영화
라스트 스탠드,김지운,디 보나벤츄라 픽쳐스,데이지엔터테인먼트,씨제이이앤엠(주),2013-02-21,개봉영화,장편,미국,300,492135000,66698,182360500,24008,액션,청소년관람불가,일반영화
닥터,"김성홍,김유정,배현지",(주)노마드필름,,(주)마인스 엔터테인먼트,2013-06-20,개봉영화,장편,한국,163,480342000,65831,126946000,16697,스릴러,청소년관람불가,일반영화
에반게리온: Q,안노 히데아키,,씨너스엔터테인먼트(주),"㈜T-JOY,씨너스엔터테인먼트(주)",2013-04-25,개봉영화,장편,일본,59,435740211,61411,269382215,36910,애니메이션,15세이상관람가,일반영화
토토의 움직이는 숲,에스벤 토프트 야콥슨,,(주)메인타이틀픽쳐스,(주)미디어데이,2013-06-20,개봉영화,장편,덴마크,191,390373500,60312,67078500,9421,애니메이션,전체관람가,독립/예술영화
웃는 남자,장 피에르 아메리스,,(주)컴퍼니엘,씨너스엔터테인먼트(주),2013-03-28,개봉영화,장편,프랑스,170,403906500,57652,175216000,23785,미스터리,15세이상관람가,독립/예술영화
돌핀 : 꿈꾸는 다니엘의 용감한 모험,에두와르도 슐츠,,그린나래미디어(주),팝엔터테인먼트,2013-03-21,개봉영화,장편,페루,197,354256000,53744,69371500,9461,애니메이션,전체관람가,일반영화
호프 스프링즈,데이빗 프랭클,,데이지엔터테인먼트,(주)시너지하우스 (시너지),2013-04-04,개봉영화,장편,미국,179,368939500,52426,182120000,25266,멜로/로맨스,청소년관람불가,일반영화
꼬마영웅 경찰차 프로디,라스무스 A. 실버르센,,예지림엔터테인먼트,예지림엔터테인먼트,2013-04-11,개봉영화,장편,노르웨이,229,343590000,52154,61132500,8540,애니메이션,전체관람가,독립/예술영화
스카이포스 3D,토니 탕,,(주)누리픽쳐스,(주)미디어데이,2013-02-28,개봉영화,장편,미국,183,349260500,51553,82973500,10911,애니메이션,전체관람가,일반영화
뜨거운 안녕,남택수,"(주)홍필름,(주)수필름",,(주)나이너스엔터테인먼트,2013-05-30,개봉영화,장편,한국,172,315291000,47105,120055000,17164,드라마,12세이상관람가,일반영화
호두까기인형 3D,안드레이 콘찰로프스키,,(주)토러스엔터테인먼트,(주)나이너스엔터테인먼트,2013-01-03,개봉영화,장편,미국,132,298444000,44677,82419500,11486,가족,전체관람가,일반영화
글래디에이터: 로마 영웅 탄생의 비밀 3D,이기니오 스트라피,,(유)조이앤컨텐츠그룹,(주)에스비에스콘텐츠허브,2013-03-14,개봉영화,장편,이탈리아,275,298917500,44198,81120000,11039,애니메이션,전체관람가,일반영화
호스트,앤드류 니콜,,(주)누리픽쳐스,(주)넥스트엔터테인먼트월드(NEW),2013-04-04,개봉영화,장편,미국,244,298122000,42708,125853000,17599,SF,15세이상관람가,일반영화
스니치,릭 로먼 워,,(주)영화사폴,(주)마인스 엔터테인먼트,2013-05-09,개봉영화,장편,미국,153,286388500,41242,77925000,10724,액션,15세이상관람가,일반영화
끝과 시작,민규동,"(주)수필름,데이지엔터테인먼트",,롯데쇼핑㈜롯데엔터테인먼트,2013-04-04,개봉영화,장편,한국,185,272411000,38432,99712000,13958,멜로/로맨스,청소년관람불가,독립/예술영화
폭풍우 치는 밤에: 비밀 친구,아미노 테츠로,,(주)머스트씨무비,(주)마인스 엔터테인먼트,2013-05-01,개봉영화,장편,일본,231,240510500,36677,51950500,7316,애니메이션,전체관람가,일반영화
극장판 썬더일레븐 GO VS 골판지 전사 W,미야오 요시카즈,,씨제이이앤엠(주),씨제이이앤엠(주),2013-06-05,개봉영화,장편,일본,99,240921500,36491,51073500,7400,애니메이션,전체관람가,일반영화
문라이즈 킹덤,웨스 앤더슨,,(주)영화사 진진,(주)영화사 진진,2013-01-31,개봉영화,장편,미국,34,275919300,35328,231310300,28598,코미디,15세이상관람가,독립/예술영화
드래곤 헌터,"기욤 이베르넬,아르튀르 크왁",,미디어소프트,"롯데쇼핑㈜롯데엔터테인먼트,케이비에스미디어(주)",2013-01-24,개봉영화,장편,프랑스,105,219090000,34984,60662000,9393,애니메이션,전체관람가,일반영화
누구의 딸도 아닌 해원,홍상수,(주)영화제작전원사,,"(주)영화제작전원사 ,(주)영화사 조제",2013-02-28,개봉영화,장편,한국,35,268878400,34876,211655900,26400,드라마,청소년관람불가,독립/예술영화
더 헌트,토마스 빈터베르그,,(주)엣나인필름,"(주)엣나인필름,씨너스엔터테인먼트(주)",2013-01-24,개봉영화,장편,덴마크,37,263329000,34724,212893500,27204,드라마,15세이상관람가,독립/예술영화
꼭두각시,권영락,골든타이드픽처스(주),,(주)인벤트스톤,2013-06-20,개봉영화,장편,한국,134,225853000,31338,37225000,4912,공포(호러),청소년관람불가,일반영화
극장판 나루토 질풍전: 로드 투 닌자,하야토 다테,,애니박스 엔터테인먼트,씨너스엔터테인먼트(주),2013-02-21,개봉영화,장편,일본,72,200250500,30117,67219000,9572,애니메이션,전체관람가,일반영화
러스트 앤 본,자크 오디아르,,그린나래미디어(주),그린나래미디어(주),2013-05-02,개봉영화,장편,프랑스,37,227827900,30043,158315900,20071,멜로/로맨스,청소년관람불가,독립/예술영화
쾌걸 조로리의 대대대대모험,이와사키 토모코,,얼리버드,(주)미디어데이,2013-06-05,개봉영화,장편,일본,136,163474500,26084,20649500,3049,애니메이션,전체관람가,일반영화
빨간머리 앤 : 그린게이블로 가는 길,다카하타 이사오,,얼리버드,(주)미디어데이,2013-01-09,개봉영화,장편,일본,108,165643000,23493,70608000,9665,애니메이션,전체관람가,독립/예술영화
길위에서,이창재,(주)비트윈픽처스,,㈜영화사 백두대간,2013-05-23,개봉영화,장편,한국,23,164705500,23417,90038000,12463,다큐멘터리,전체관람가,독립/예술영화
알렉스 크로스,롭 코헨,,(주)인벤트스톤,(주)인벤트스톤,2013-03-14,개봉영화,장편,미국,162,162716000,22771,53849500,7264,액션,청소년관람불가,일반영화
