,전국스크린수,전국관객수,expert_rating,running_times,audience_rating,rating_audiences,director_power
360,183,72071,4.75,91,0.0,0,72071.0
361,164,69881,0.0,57,8.575268817204302,186,1206342.0
362,175,69586,5.9,103,9.466666666666667,15,69586.0
363,375,69529,4.0,127,8.1,70,69529.0
364,357,68897,6.79,101,8.10062893081761,159,72985.0
365,358,67027,4.67,56,7.730263157894738,152,67027.0
366,338,66883,4.42,103,8.603174603174603,126,66883.0
367,291,66562,0.0,75,8.173913043478262,69,66562.0
368,163,66314,6.2,110,9.0,1,66314.0
369,198,65145,6.78,100,8.258064516129032,93,374270.0
370,406,63800,0.0,60,8.42,100,63800.0
371,397,60365,5.44,91,7.7333333333333325,90,674609.0
372,282,59147,0.0,103,8.975806451612904,124,225239.0
373,213,55355,0.0,76,7.565217391304348,46,55355.0
374,381,55342,7.25,114,8.276595744680849,94,100391.0
375,104,54144,5.0,88,9.636363636363637,11,162432.0
376,63,53018,8.4,100,9.352941176470589,102,79130.0
377,976,7817446,5.0,125,8.890845070422538,1988,17234182.0
378,1310,5316325,6.83,134,8.51175917215428,3189,5316325.0
379,1627,5137993,7.0,129,9.115556882651537,3349,6499.0
380,1469,3653238,6.0,136,9.31884765625,2048,8247867.0
381,1257,3628949,5.71,110,7.626346313173157,1207,3628949.0
382,947,3616250,7.55,106,9.215101193565127,3854,7896586.0
383,1357,3045449,5.2,129,8.604651162790697,860,13626748.0
384,1047,2931897,6.0,125,8.341040462427745,2076,0.0
385,1218,2735719,6.25,136,9.062323745064862,3546,4046909.0
386,1091,2570874,5.89,115,8.391095591444786,2291,2572971.0
387,1019,2512572,5.22,126,8.58047646717025,1721,2512572.0
388,1116,2447246,5.2,97,8.871711594673595,3079,2447246.0
389,935,2420729,6.0,119,8.796284433055732,1561,2910138.0
390,953,2310054,6.4,113,9.24909090909091,1650,6930162.0
391,1034,2153152,6.7,141,8.388947927736451,941,2153152.0
392,945,2128572,7.14,104,8.555189456342669,607,5732231.0
393,1739,2125953,2.83,151,6.909167367535744,1189,8062889.0
394,954,2070084,7.55,137,8.946745562130179,2366,5342562.0
395,775,1821000,6.67,109,9.643512450851901,763,1849416.0
396,984,1685933,6.17,118,8.148876404494384,1424,1685987.0
397,952,1675798,6.5,117,7.878773125608567,2054,4460383.0
398,1054,1634403,5.63,114,8.079252003561887,1123,1634403.0
399,1154,1362634,5.91,130,7.7548291233283795,1346,1362634.0
400,841,1305826,7.11,122,8.146469465648854,2096,21424146.0
401,915,1201576,6.0,117,6.6306513409961685,1305,1201576.0
402,685,1176711,5.4,123,7.8081534772182275,417,1176711.0
403,781,1085087,4.6,90,10.0,1,0.0
404,860,930866,5.83,120,8.383561643835616,365,930866.0
405,809,836140,6.5,130,7.83502538071066,394,836140.0
406,599,765259,6.0,106,8.60706062931696,1303,2139132.0
407,807,764072,5.14,107,7.406067677946324,857,764072.0
408,622,675966,5.5,92,8.820702402957489,541,2791969.0
409,608,668576,5.5,116,8.06092715231788,755,3487587.0
410,520,646195,4.0,115,8.734072022160666,361,646195.0
411,605,629322,7.29,116,8.323731138545954,729,2530063.0
412,1176,536597,6.7,129,8.51270553064275,1338,5052135.0
413,546,518886,6.5,124,8.69620253164557,632,1015891.0
